2024-01-17 19:29:40 INFO: /data/jxq/mobile-agent/aitw_replay_data/trace_12/4.xmlvs/data/wangshihe/AgentTestbed/AppAgent/tasks/task_Chrome_2024-01-16_21-40-04/151130279482320639/captured_data/xml/0.xml: cosine_similarity: 0.6346709109893662, tree_edit_distance_ratio: 1.0089766606822261
2024-01-17 19:30:07 INFO: /data/jxq/mobile-agent/aitw_replay_data/trace_12/4.xmlvs/data/wangshihe/AgentTestbed/AppAgent/tasks/task_Chrome_2024-01-16_21-40-04/151130279482320639/captured_data/xml/1.xml: cosine_similarity: 0.6695862315077216, tree_edit_distance_ratio: 1.0197486535008977
2024-01-17 19:30:35 INFO: /data/jxq/mobile-agent/aitw_replay_data/trace_12/4.xmlvs/data/wangshihe/AgentTestbed/AppAgent/tasks/task_Chrome_2024-01-16_21-40-04/151130279482320639/captured_data/xml/2.xml: cosine_similarity: 0.6772958654676008, tree_edit_distance_ratio: 1.0233393177737882
2024-01-17 19:31:06 INFO: /data/jxq/mobile-agent/aitw_replay_data/trace_12/4.xmlvs/data/wangshihe/AgentTestbed/AppAgent/tasks/task_Chrome_2024-01-16_21-40-04/151130279482320639/captured_data/xml/3.xml: cosine_similarity: 0.6695862315077216, tree_edit_distance_ratio: 1.0197486535008977
2024-01-17 19:31:33 INFO: /data/jxq/mobile-agent/aitw_replay_data/trace_12/4.xmlvs/data/wangshihe/AgentTestbed/AppAgent/tasks/task_Chrome_2024-01-16_21-40-04/151130279482320639/captured_data/xml/4.xml: cosine_similarity: 0.6695862315077216, tree_edit_distance_ratio: 1.0197486535008977
2024-01-17 19:32:01 INFO: /data/jxq/mobile-agent/aitw_replay_data/trace_12/4.xmlvs/data/wangshihe/AgentTestbed/AppAgent/tasks/task_Chrome_2024-01-16_21-40-04/151130279482320639/captured_data/xml/5.xml: cosine_similarity: 0.6695862315077216, tree_edit_distance_ratio: 1.0197486535008977
2024-01-17 19:32:32 INFO: /data/jxq/mobile-agent/aitw_replay_data/trace_12/4.xmlvs/data/wangshihe/AgentTestbed/AppAgent/tasks/task_Chrome_2024-01-16_21-40-04/151130279482320639/captured_data/xml/6.xml: cosine_similarity: 0.6772958654676008, tree_edit_distance_ratio: 1.0233393177737882
2024-01-17 19:33:01 INFO: /data/jxq/mobile-agent/aitw_replay_data/trace_12/4.xmlvs/data/wangshihe/AgentTestbed/AppAgent/tasks/task_Chrome_2024-01-16_21-40-04/151130279482320639/captured_data/xml/7.xml: cosine_similarity: 0.6695862315077216, tree_edit_distance_ratio: 1.0197486535008977
2024-01-17 19:33:01 INFO: False in checkpoints, task not completed!
